mF,M
0.0015243455824429297,80569345.91174512
0.0016186668920260964,78185813.84767744
0.0017188232140892736,75872795.28206328
0.0018251753328646899,73628204.19256754
0.001938106771292145,71450016.18286695
0.0020580243605705004,69336266.81183752
0.0021853598297414813,67285049.8002909
0.0023205718463848125,65294515.21845678
0.0024641475860517122,63362867.8115903
0.0026166042357465063,61488365.5057816
0.002778490936231099,59669317.75868722
0.0029503906666674714,57904084.01751051
0.003132922377705921,56191072.25435134
0.003326743675633345,54528737.563094445
0.0035325526091767568,52915580.73559307
0.0037510901314466924,51350146.90918587
0.003983143056800313,49831024.26363081
0.004229546916358017,48356842.749102674
0.00449118876986049,46926272.843065925
0.004769010398647728,45538024.3561442
0.005064011944327138,44190845.26969704
0.005377255216299381,42883520.60287174
0.005709867452292322,41614871.31594306
0.006063045755745816,40383753.25305062
0.006438061091069584,39189056.10597596
0.006836262701320719,38029702.411056854
0.007259083275619519,36904646.581504464
0.007708044044635114,35812873.963995956
0.008184759950799371,34753399.92043794
0.008690945562867222,33725268.94129429
0.009228421570894011,32727553.787080098
0.009799120847760148,31759354.648101408
0.010405095266146356,30819798.332504403
0.011048523764877178,29908037.48327747
0.011731719604641942,29023249.810837094
0.01245713840644303,28164637.350144275
0.013227387495088023,27331425.74401883
0.014045235167031059,26522863.54448449
0.014913620099439827,25738221.532720346
0.015835662078058695,24976792.062383436
0.01681467382258331,24237888.42383278
0.017854171926398682,23520844.221811045
0.018957889258207065,22825012.774126243
0.020129789501077862,22149766.53172045
0.02137408041536017,21494496.510381877
0.022695228435960668,20858611.740569916
0.024097975594099492,20241538.736652385
0.02558735627771799,19642720.979401514
0.027168714311816146,19061618.41241306
0.028847722456049434,18497706.955845635
0.030630403750292495,17950478.035406888
0.03252315134294568,17419438.121540204
0.0345327510938881,16904108.284168333
0.0366664076141618,16404023.763137192
0.03893176845764089,15918733.547280166
0.04133695056032384,15447799.967004932
0.0438905710782692,14990798.301346293
0.046601777409114115,14547316.394491524
0.04948027811921878,14116954.282908874
0.05253637836427364,13699323.835323095
0.055781018159523646,13294048.40375843
0.05922580848525365,12900762.482281046
0.06288307228132271,12519111.377325233
0.06676589122254252,12148750.889477622
0.07088814948687647,11789347.00174269
0.07526458142582648,11440575.577805394
0.07991082775816563,11102122.0712026
0.08484348914159694,10773681.24110952
0.0900801823885862,10454956.876275826
0.09563960413625949,10145661.528380329
0.10154159844959948,9845516.25331496
0.1078072238711525,9554250.358819554
0.11445882875749565,9271601.16066818
0.1215201313242719,8997313.746117504
0.12901629997305122,8731140.743364275
0.1369740430208046,8472842.098725824
0.1454217042138578,8222184.860488448
0.1543893585102591,7978942.96822202
0.1639089188830029,7742897.04914088
0.17401425023697686,7513834.220593652
0.18474128356596867,7291547.8975239955
0.19612814302364928,7075837.606361847
0.20821528171125092,6866508.804545622
0.22104561769186798,6663372.704567546
0.2346646850992764,6466246.103885203
0.24912079588415414,6274951.220007873
0.26446520180911204,6089315.529697404
0.2807522740514242,5909171.613521883
0.29803969576106565,5734357.00516272
0.31638865487010703,5564714.044466803
0.3358640574390818,5400089.7353810575
0.3565347566914519,5240335.6082544355
0.3784737824452564,5085307.585547785
0.40175859437843847,4934865.851998191
0.4264713542497771,4788874.728794266
0.4526991986796119,4647202.550854418
0.48053453960435977,4509721.548167509
0.5100753875493385,4376307.7308180155
0.5414256757590078,4246840.7768357955
